# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\altera\projects\hps\de1_soc_GHRD\DE1_SoC.csv
# Generated on: Sun Feb 01 21:39:02 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
DRAM_ADDR[4],Output,PIN_AH13,3B,B3B_N0,PIN_AH13,3.3-V LVTTL,,,,,,,,,,,,
DRAM_ADDR[3],Output,PIN_AH14,3B,B3B_N0,PIN_AH14,3.3-V LVTTL,,,,,,,,,,,,
DRAM_ADDR[2],Output,PIN_AH15,3B,B3B_N0,PIN_AH15,3.3-V LVTTL,,,,,,,,,,,,
DRAM_ADDR[1],Output,PIN_AB15,3B,B3B_N0,PIN_AB15,3.3-V LVTTL,,,,,,,,,,,,
DRAM_ADDR[0],Output,PIN_AD14,3B,B3B_N0,PIN_AD14,3.3-V LVTTL,,,,,,,,,,,,
DRAM_BA[1],Output,PIN_AB13,3B,B3B_N0,PIN_AB13,3.3-V LVTTL,,,,,,,,,,,,
DRAM_BA[0],Output,PIN_AA13,3B,B3B_N0,PIN_AA13,3.3-V LVTTL,,,,,,,,,,,,
DRAM_CAS_n,Output,PIN_AK13,3B,B3B_N0,PIN_AK13,3.3-V LVTTL,,,,,,,,,,,,
DRAM_CKE,Output,PIN_AJ14,3B,B3B_N0,PIN_AJ14,3.3-V LVTTL,,,,,,,,,,,,
DRAM_CLK,Output,PIN_AH12,3B,B3B_N0,PIN_AH12,3.3-V LVTTL,,,,,,,,,,,,
DRAM_CS_N,Output,PIN_AK14,3B,B3B_N0,PIN_AK14,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[15],Bidir,PIN_AJ5,3B,B3B_N0,PIN_AJ5,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[14],Bidir,PIN_AJ6,3B,B3B_N0,PIN_AJ6,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[13],Bidir,PIN_AH7,3B,B3B_N0,PIN_AH7,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[12],Bidir,PIN_AJ7,3B,B3B_N0,PIN_AJ7,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[11],Bidir,PIN_AH9,3B,B3B_N0,PIN_AH9,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[10],Bidir,PIN_AJ9,3B,B3B_N0,PIN_AJ9,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[9],Bidir,PIN_AG10,3B,B3B_N0,PIN_AG10,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[8],Bidir,PIN_AH10,3B,B3B_N0,PIN_AH10,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[7],Bidir,PIN_AJ11,3B,B3B_N0,PIN_AJ11,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[6],Bidir,PIN_AK11,3B,B3B_N0,PIN_AK11,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[5],Bidir,PIN_AJ10,3B,B3B_N0,PIN_AJ10,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[4],Bidir,PIN_AK9,3B,B3B_N0,PIN_AK9,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[3],Bidir,PIN_AH8,3B,B3B_N0,PIN_AH8,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[2],Bidir,PIN_AK8,3B,B3B_N0,PIN_AK8,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[1],Bidir,PIN_AK7,3B,B3B_N0,PIN_AK7,3.3-V LVTTL,,,,,,,,,,,,
DRAM_DQ[0],Bidir,PIN_AK6,3B,B3B_N0,PIN_AK6,3.3-V LVTTL,,,,,,,,,,,,
DRAM_LDQM,Output,PIN_AG11,3B,B3B_N0,PIN_AG11,3.3-V LVTTL,,,,,,,,,,,,
DRAM_RAS_N,Output,PIN_AJ12,3B,B3B_N0,PIN_AJ12,3.3-V LVTTL,,,,,,,,,,,,
DRAM_UDQM,Output,PIN_AG12,3B,B3B_N0,PIN_AG12,3.3-V LVTTL,,,,,,,,,,,,
DRAM_WE_N,Output,PIN_AK12,3B,B3B_N0,PIN_AK12,3.3-V LVTTL,,,,,,,,,,,,
FAN_CTRL,Output,PIN_AA12,3A,B3A_N0,PIN_AA12,3.3-V LVTTL,,,,,,,,,,,,
FPGA_I2C_SCLK,Output,PIN_J12,8A,B8A_N0,PIN_J12,3.3-V LVTTL,,,,,,,,,,,,
FPGA_I2C_SDAT,Bidir,PIN_K12,8A,B8A_N0,PIN_K12,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[35],Bidir,PIN_AK21,4A,B4A_N0,PIN_AK21,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[34],Bidir,PIN_AK19,4A,B4A_N0,PIN_AK19,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[33],Bidir,PIN_AK18,4A,B4A_N0,PIN_AK18,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[32],Bidir,PIN_AK16,4A,B4A_N0,PIN_AK16,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[31],Bidir,PIN_AJ21,4A,B4A_N0,PIN_AJ21,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[30],Bidir,PIN_AJ20,4A,B4A_N0,PIN_AJ20,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[29],Bidir,PIN_AJ19,4A,B4A_N0,PIN_AJ19,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[28],Bidir,PIN_AJ17,4A,B4A_N0,PIN_AJ17,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[27],Bidir,PIN_AJ16,4A,B4A_N0,PIN_AJ16,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[26],Bidir,PIN_AH20,4A,B4A_N0,PIN_AH20,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[25],Bidir,PIN_AH18,4A,B4A_N0,PIN_AH18,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[24],Bidir,PIN_AH19,4A,B4A_N0,PIN_AH19,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[23],Bidir,PIN_AH17,4A,B4A_N0,PIN_AH17,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[22],Bidir,PIN_AG21,4A,B4A_N0,PIN_AG21,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[21],Bidir,PIN_AG20,4A,B4A_N0,PIN_AG20,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[20],Bidir,PIN_AG18,4A,B4A_N0,PIN_AG18,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[19],Bidir,PIN_AG17,4A,B4A_N0,PIN_AG17,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[18],Bidir,PIN_AG16,4A,B4A_N0,PIN_AG16,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[17],Bidir,PIN_AF21,4A,B4A_N0,PIN_AF21,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[16],Bidir,PIN_AF20,4A,B4A_N0,PIN_AF20,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[15],Bidir,PIN_AF19,4A,B4A_N0,PIN_AF19,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[14],Bidir,PIN_AF18,4A,B4A_N0,PIN_AF18,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[13],Bidir,PIN_AF16,4A,B4A_N0,PIN_AF16,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[12],Bidir,PIN_AE19,4A,B4A_N0,PIN_AE19,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[11],Bidir,PIN_AE18,4A,B4A_N0,PIN_AE18,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[10],Bidir,PIN_AE17,4A,B4A_N0,PIN_AE17,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[9],Bidir,PIN_AE16,4A,B4A_N0,PIN_AE16,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[8],Bidir,PIN_AD20,4A,B4A_N0,PIN_AD20,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[7],Bidir,PIN_AD19,4A,B4A_N0,PIN_AD19,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[6],Bidir,PIN_AC20,4A,B4A_N0,PIN_AC20,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[5],Bidir,PIN_AA19,4A,B4A_N0,PIN_AA19,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[4],Bidir,PIN_AA18,4A,B4A_N0,PIN_AA18,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[3],Bidir,PIN_Y17,4A,B4A_N0,PIN_Y17,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[2],Bidir,PIN_AD17,4A,B4A_N0,PIN_AD17,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[1],Bidir,PIN_Y18,4A,B4A_N0,PIN_Y18,3.3-V LVTTL,,,,,,,,,,,,
GPIO_A[0],Bidir,PIN_AC18,4A,B4A_N0,PIN_AC18,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[35],Bidir,PIN_AK29,4A,B4A_N0,PIN_AK29,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[34],Bidir,PIN_AK28,4A,B4A_N0,PIN_AK28,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[33],Bidir,PIN_AK27,4A,B4A_N0,PIN_AK27,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[32],Bidir,PIN_AK26,4A,B4A_N0,PIN_AK26,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[31],Bidir,PIN_AK24,4A,B4A_N0,PIN_AK24,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[30],Bidir,PIN_AK23,4A,B4A_N0,PIN_AK23,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[29],Bidir,PIN_AK22,4A,B4A_N0,PIN_AK22,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[28],Bidir,PIN_AJ27,4A,B4A_N0,PIN_AJ27,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[27],Bidir,PIN_AJ26,4A,B4A_N0,PIN_AJ26,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[26],Bidir,PIN_AJ25,4A,B4A_N0,PIN_AJ25,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[25],Bidir,PIN_AJ24,4A,B4A_N0,PIN_AJ24,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[24],Bidir,PIN_AJ22,4A,B4A_N0,PIN_AJ22,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[23],Bidir,PIN_AH27,4A,B4A_N0,PIN_AH27,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[22],Bidir,PIN_AH25,4A,B4A_N0,PIN_AH25,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[21],Bidir,PIN_AH24,4A,B4A_N0,PIN_AH24,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[20],Bidir,PIN_AH23,4A,B4A_N0,PIN_AH23,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[19],Bidir,PIN_AH22,4A,B4A_N0,PIN_AH22,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[18],Bidir,PIN_AG26,4A,B4A_N0,PIN_AG26,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[17],Bidir,PIN_AG25,4A,B4A_N0,PIN_AG25,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[16],Bidir,PIN_AG23,4A,B4A_N0,PIN_AG23,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[15],Bidir,PIN_AG22,4A,B4A_N0,PIN_AG22,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[14],Bidir,PIN_AF26,4A,B4A_N0,PIN_AF26,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[13],Bidir,PIN_AF25,4A,B4A_N0,PIN_AF25,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[12],Bidir,PIN_AF24,4A,B4A_N0,PIN_AF24,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[11],Bidir,PIN_AF23,4A,B4A_N0,PIN_AF23,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[10],Bidir,PIN_AE24,4A,B4A_N0,PIN_AE24,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[9],Bidir,PIN_AE23,4A,B4A_N0,PIN_AE23,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[8],Bidir,PIN_AE22,4A,B4A_N0,PIN_AE22,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[7],Bidir,PIN_AD24,4A,B4A_N0,PIN_AD24,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[6],Bidir,PIN_AD21,4A,B4A_N0,PIN_AD21,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[5],Bidir,PIN_AC23,4A,B4A_N0,PIN_AC23,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[4],Bidir,PIN_AC22,4A,B4A_N0,PIN_AC22,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[3],Bidir,PIN_AB21,4A,B4A_N0,PIN_AB21,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[2],Bidir,PIN_AA21,4A,B4A_N0,PIN_AA21,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[1],Bidir,PIN_AA20,4A,B4A_N0,PIN_AA20,3.3-V LVTTL,,,,,,,,,,,,
GPIO_B[0],Bidir,PIN_AB17,4A,B4A_N0,PIN_AB17,3.3-V LVTTL,,,,,,,,,,,,
HEX0[0],Output,PIN_AE26,5A,B5A_N0,PIN_AJ29,3.3-V LVTTL,,,,,,,,,,,,
HEX0[1],Output,PIN_AE27,5A,B5A_N0,PIN_AH30,3.3-V LVTTL,,,,,,,,,,,,
HEX0[2],Output,PIN_AE28,5A,B5A_N0,PIN_AH29,3.3-V LVTTL,,,,,,,,,,,,
HEX0[3],Output,PIN_AG27,5A,B5A_N0,PIN_AH28,3.3-V LVTTL,,,,,,,,,,,,
HEX0[4],Output,PIN_AF28,5A,B5A_N0,PIN_AG30,3.3-V LVTTL,,,,,,,,,,,,
HEX0[5],Output,PIN_AG28,5A,B5A_N0,PIN_AG28,3.3-V LVTTL,,,,,,,,,,,,
HEX0[6],Output,PIN_AH28,5A,B5A_N0,PIN_AG27,3.3-V LVTTL,,,,,,,,,,,,
HEX1[0],Output,PIN_AJ29,5A,B5A_N0,PIN_AF30,3.3-V LVTTL,,,,,,,,,,,,
HEX1[1],Output,PIN_AH29,5A,B5A_N0,PIN_AF29,3.3-V LVTTL,,,,,,,,,,,,
HEX1[2],Output,PIN_AH30,5A,B5A_N0,PIN_AF28,3.3-V LVTTL,,,,,,,,,,,,
HEX1[3],Output,PIN_AG30,5A,B5A_N0,PIN_AE28,3.3-V LVTTL,,,,,,,,,,,,
HEX1[4],Output,PIN_AF29,5A,B5A_N0,PIN_AE27,3.3-V LVTTL,,,,,,,,,,,,
HEX1[5],Output,PIN_AF30,5A,B5A_N0,PIN_AE26,3.3-V LVTTL,,,,,,,,,,,,
HEX1[6],Output,PIN_AD27,5A,B5A_N0,PIN_AD27,3.3-V LVTTL,,,,,,,,,,,,
HEX2[0],Output,PIN_AB23,5A,B5A_N0,PIN_AD26,3.3-V LVTTL,,,,,,,,,,,,
HEX2[1],Output,PIN_AE29,5A,B5A_N0,PIN_AC27,3.3-V LVTTL,,,,,,,,,,,,
HEX2[2],Output,PIN_AD29,5A,B5A_N0,PIN_AD25,3.3-V LVTTL,,,,,,,,,,,,
HEX2[3],Output,PIN_AC28,5A,B5A_N0,PIN_AC25,3.3-V LVTTL,,,,,,,,,,,,
HEX2[4],Output,PIN_AD30,5A,B5A_N0,PIN_AB26,3.3-V LVTTL,,,,,,,,,,,,
HEX2[5],Output,PIN_AC29,5A,B5A_N0,PIN_AB25,3.3-V LVTTL,,,,,,,,,,,,
HEX2[6],Output,PIN_AC30,5A,B5A_N0,PIN_AB23,3.3-V LVTTL,,,,,,,,,,,,
HEX3[0],Output,PIN_AD26,5A,B5A_N0,PIN_AA24,3.3-V LVTTL,,,,,,,,,,,,
HEX3[1],Output,PIN_AC27,5A,B5A_N0,PIN_AB22,3.3-V LVTTL,,,,,,,,,,,,
HEX3[2],Output,PIN_AD25,5A,B5A_N0,PIN_AA25,3.3-V LVTTL,,,,,,,,,,,,
HEX3[3],Output,PIN_AC25,5A,B5A_N0,PIN_Y24,3.3-V LVTTL,,,,,,,,,,,,
HEX3[4],Output,PIN_AB28,5A,B5A_N0,PIN_Y23,3.3-V LVTTL,,,,,,,,,,,,
HEX3[5],Output,PIN_AB25,5A,B5A_N0,PIN_W24,3.3-V LVTTL,,,,,,,,,,,,
HEX3[6],Output,PIN_AB22,5A,B5A_N0,PIN_W22,3.3-V LVTTL,,,,,,,,,,,,
HEX4[0],Output,PIN_AA24,5A,B5A_N0,PIN_V23,3.3-V LVTTL,,,,,,,,,,,,
HEX4[1],Output,PIN_Y23,5B,B5B_N0,PIN_AE29,3.3-V LVTTL,,,,,,,,,,,,
HEX4[2],Output,PIN_Y24,5B,B5B_N0,PIN_AD30,3.3-V LVTTL,,,,,,,,,,,,
HEX4[3],Output,PIN_W22,5B,B5B_N0,PIN_AD29,3.3-V LVTTL,,,,,,,,,,,,
HEX4[4],Output,PIN_W24,5B,B5B_N0,PIN_AC29,3.3-V LVTTL,,,,,,,,,,,,
HEX4[5],Output,PIN_V23,5B,B5B_N0,PIN_AC28,3.3-V LVTTL,,,,,,,,,,,,
HEX4[6],Output,PIN_W25,5B,B5B_N0,PIN_AC30,3.3-V LVTTL,,,,,,,,,,,,
HEX5[0],Output,PIN_V25,5B,B5B_N0,PIN_AB27,3.3-V LVTTL,,,,,,,,,,,,
HEX5[1],Output,PIN_AA28,5B,B5B_N0,PIN_Y27,3.3-V LVTTL,,,,,,,,,,,,
HEX5[2],Output,PIN_Y27,5B,B5B_N0,PIN_AA26,3.3-V LVTTL,,,,,,,,,,,,
HEX5[3],Output,PIN_AB27,5B,B5B_N0,PIN_AB28,3.3-V LVTTL,,,,,,,,,,,,
HEX5[4],Output,PIN_AB26,5B,B5B_N0,PIN_AA28,3.3-V LVTTL,,,,,,,,,,,,
HEX5[5],Output,PIN_AA26,5B,B5B_N0,PIN_W25,3.3-V LVTTL,,,,,,,,,,,,
HEX5[6],Output,PIN_AA25,5B,B5B_N0,PIN_V25,3.3-V LVTTL,,,,,,,,,,,,
HPS_CONV_USB_N,Bidir,,,,PIN_B15,3.3-V LVTTL,,,,,,,,,,,,
HPS_DDR3_ADDR[14],Output,,,,PIN_H25,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_ADDR[13],Output,,,,PIN_C29,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_ADDR[12],Output,,,,PIN_B30,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_ADDR[11],Output,,,,PIN_C30,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_ADDR[10],Output,,,,PIN_D29,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_ADDR[9],Output,,,,PIN_G26,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_ADDR[8],Output,,,,PIN_H27,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_ADDR[7],Output,,,,PIN_E28,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_ADDR[6],Output,,,,PIN_F29,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_ADDR[5],Output,,,,PIN_J27,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_ADDR[4],Output,,,,PIN_J25,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_ADDR[3],Output,,,,PIN_F30,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_ADDR[2],Output,,,,PIN_F28,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_ADDR[1],Output,,,,PIN_G30,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_ADDR[0],Output,,,,PIN_F26,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_BA[2],Output,,,,PIN_J23,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_BA[1],Output,,,,PIN_J24,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_BA[0],Output,,,,PIN_E29,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_CAS_N,Output,,,,PIN_E27,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_CKE,Output,,,,PIN_L29,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_CK_N,Output,,,,PIN_L23,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_N(n),,,,,,,,
HPS_DDR3_CK_N(n),Output,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_N,,,,,,,,
HPS_DDR3_CK_P,Output,,,,PIN_M23,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_P(n),,,,,,,,
HPS_DDR3_CK_P(n),Output,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_P,,,,,,,,
HPS_DDR3_CS_N,Output,,,,PIN_H24,SSTL-15 Class I,,Maximum Current,,,,,,,,,,
HPS_DDR3_DM[3],Output,,,,PIN_W30,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DM[2],Output,,,,PIN_R28,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DM[1],Output,,,,PIN_M28,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DM[0],Output,,,,PIN_K28,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[31],Bidir,,,,PIN_W29,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[30],Bidir,,,,PIN_V30,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[29],Bidir,,,,PIN_R26,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[28],Bidir,,,,PIN_R27,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[27],Bidir,,,,PIN_T28,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[26],Bidir,,,,PIN_T29,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[25],Bidir,,,,PIN_P25,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[24],Bidir,,,,PIN_P24,SSTL-15 Class I,,,,,,,,,,,,
HPS_DDR3_DQ[23],Bidir,,,,PIN_R29,SSTL-15 Class I,,,,,,,,,,,,
